cell_type,marker_gene,species,organ,tissue_class,tissue_type,cancer,database
Olfactory ensheathing glia,Bcar3,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Bcar3,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Oligodendrocyte precursor cell,Bcas1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Bcat1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Bckdhb,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Bean1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Bend6,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Best3,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Bex1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Neuron,Bex2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Bex4,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Bfar,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Mural cell,Bgn,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Bgn,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IC spiral ganglion neuron,Bhlhe22,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Bhlhe40,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Cajal-Retzius cell,Bin1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Bin1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Microglial cell,Bmp2k,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Dorsal otocyst,Bmp4,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Olfactory ensheathing glia,Bmp7,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Bmp7,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Bmpr1a,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Bergmann glial cell,Bmpr1b,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Olfactory ensheathing glia,Bnc2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IC spiral ganglion neuron,Boc,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Bola3,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Borcs6,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Oligodendrocyte precursor cell,Brinp1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Oligodendrocyte precursor cell,Brinp3,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Brms1l,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Brsk1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Brsk2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IB spiral ganglion neuron,Btbd9,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Neuroblast,Btg1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Btg1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IA spiral ganglion neuron,Bves,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Microglial cell,C1qa,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Microglial cell,C1qb,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Microglial cell,C1qc,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Oligodendrocyte precursor cell,C1ql1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,C530008M17Rik,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Cabin1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Cables2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Cabp1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IA spiral ganglion neuron,Cachd1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Cachd1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IA spiral ganglion neuron,Cacna1b,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IC spiral ganglion neuron,Cacna1e,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Cacna1e,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IA spiral ganglion neuron,Cacna1h,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Cajal-Retzius cell,Cacna2d1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IA spiral ganglion neuron,Cacna2d1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Cacna2d1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Cajal-Retzius cell,Cacna2d2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IA spiral ganglion neuron,Cacna2d2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Cacna2d2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Cacng2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Oligodendrocyte precursor cell,Cacng4,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IC spiral ganglion neuron,Cacng5,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Cacng5,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Cadm1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
CCK basket cell,Cadps2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Calb1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IB spiral ganglion neuron,Calb1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Calb2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IA spiral ganglion neuron,Calb2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Mural cell,Cald1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Smooth muscle cell,Cald1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Camk1d,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IC spiral ganglion neuron,Camk1d,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Camk1g,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Neuron,Camk2a,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Neuron,Camk2b,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Camk2b,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Camk2g,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Neuron,Camk2n1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Camsap1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Cap2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Capn2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Martinotti cell,Capn5,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Capn5,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Car12,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IC spiral ganglion neuron,Car13,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Car2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IA spiral ganglion neuron,Car2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Endothelial cell,Car4,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Car7,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Long-projecting GABAergic cell,Carhsp1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IA spiral ganglion neuron,Carhsp1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Cars,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Basket cell,Cartpt,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Caskin1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Cast,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Casz1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Cat,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Cblb,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Cbx4,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Cc2d2a,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Ccbe1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Ccdc112,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Ependymal cell,Ccdc114,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Ccdc136,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Endothelial cell,Ccdc141,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Ependymal cell,Ccdc146,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Cajal-Retzius cell,Ccdc148,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Ependymal cell,Ccdc153,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Ccdc155,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IB spiral ganglion neuron,Ccdc155,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Ependymal cell,Ccdc162,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IC spiral ganglion neuron,Ccdc162,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Ccdc167,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Ependymal cell,Ccdc170,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Ccdc184,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Ccdc22,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Ccdc28a,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Ccdc28b,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Ependymal cell,Ccdc60,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Ccdc77,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Ccdc88a,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Ccdc90b,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IC spiral ganglion neuron,Cckar,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Neuroblast,Ccnd2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
CCK basket cell,Ccnd3,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Oligodendrocyte,Ccp110,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Microglial cell,Ccr5,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Microglial cell,Cd14,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IC spiral ganglion neuron,Cd164l2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Cd200,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IA spiral ganglion neuron,Cd24a,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Cd302,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Microglial cell,Cd37,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Cd47,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Microglial cell,Cd53,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Cd59a,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IA spiral ganglion neuron,Cd63,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Cd63,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Microglial cell,Cd68,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Cd74,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Macrophage,Cd84,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Endothelial cell,Cd93,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Cdadc1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Cdc37l1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Cdc42ep3,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Cdh18,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Martinotti cell,Cdh22,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IA spiral ganglion neuron,Cdh22,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IB spiral ganglion neuron,Cdh23,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Cajal-Retzius cell,Cdh4,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IC spiral ganglion neuron,Cdh4,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Endothelial cell,Cdh5,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Martinotti cell,Cdh7,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IC spiral ganglion neuron,Cdh8,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Cdh9,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Late activated neural stem cell,Cdk1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Cdk14,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IA spiral ganglion neuron,Cdk15,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Oligodendrocyte precursor cell,Cdo1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Cdr1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Cdr2l,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Cds1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Cajal-Retzius cell,Cdyl,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Cebpzos,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Neuroblast,Celf4,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Neuron,Celf4,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Celsr2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Interneuron-selective cell,Celsr3,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Late activated neural stem cell,Cenpf,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Cenpq,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Cajal-Retzius cell,Cep112,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Cep57,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Cep83,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Cep97,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Cept1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Cerk,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Ces2g,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Cetn2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Cfap161,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IB spiral ganglion neuron,Cfap161,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Macrophage,Cfh,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Cflar,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Endothelial cell,Cgnl1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Chchd10,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Chchd3,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Chchd4,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Chchd7,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Neuron,Chd3,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Chd3,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Chmp1a,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Chmp6,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Chn1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Chn2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Long-projecting GABAergic cell,Chodl,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Chordc1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Chrac1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IA spiral ganglion neuron,Chrna1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Interneuron-selective cell,Chrna4,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IA spiral ganglion neuron,Chrna4,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Chst10,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Oligodendrocyte precursor cell,Chst11,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IC spiral ganglion neuron,Chst9,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Chtop,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Churc1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Ciart,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Cib2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Cilp,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IC spiral ganglion neuron,Cit,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Cited2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Ckap4,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Ckmt1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Ckmt2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Clcn1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Astrocyte,Cldn10,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
O cell,Cldn11,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Oligodendrocyte,Cldn11,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IA spiral ganglion neuron,Cldn23,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Endothelial cell,Cldn5,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Cldn9,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IC spiral ganglion neuron,Clec18a,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Clec2l,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Clgn,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Long-projecting GABAergic cell,Clic1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Clic1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Endothelial cell,Clic5,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Clint1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Clip4,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Clmp,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IA spiral ganglion neuron,Cln8,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IC spiral ganglion neuron,Clrn1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Cajal-Retzius cell,Clstn2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Clstn3,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Ependymal cell,Clu,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Quiescent neural stem cell,Clu,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Clu,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Macrophage,Cmah,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Cmc1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Cmc2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Cmpk2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IA spiral ganglion neuron,Cmtm4,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Cmtm4,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Olfactory sensory neuron,Cnga2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Olfactory sensory neuron,Cnga4,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Olfactory sensory neuron,Cngb1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Neuron,Cnih2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Long-projecting GABAergic cell,Cnih3,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Cnksr2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Cnnm1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Cnnm2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Cnot8,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Cnppd1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
CCK basket cell,Cnr1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Oligodendrocyte precursor cell,Cntn1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Oligodendrocyte,Cntn2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Cntn5,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Cntnap1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Cajal-Retzius cell,Cntnap2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Cntnap4,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Cntnap5b,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Cajal-Retzius cell,Cobll1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Smooth muscle cell,Cobll1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Long-projecting GABAergic cell,Col11a1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
CCK basket cell,Col15a1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Col19a1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IB spiral ganglion neuron,Col19a1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
