cell_type,marker_gene,species,organ,tissue_class,tissue_type,cancer,database
Type II spiral ganglion neuron,B230216N24Rik,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Long-projecting GABAergic cell,B2m,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Cajal-Retzius cell,B3galt1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,B3galt1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,B3galt2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,B3gat1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IA spiral ganglion neuron,B3gat1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,B3gnt2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,B4galnt1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IC spiral ganglion neuron,B4galt4,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,B4galt6,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,B4galt7,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,B9d2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type II spiral ganglion neuron,Baalc,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Long-projecting GABAergic cell,Bace2,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IA spiral ganglion neuron,Bag3,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Macrophage,Bank1,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Cajal-Retzius cell,Bbx,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IC spiral ganglion neuron,BC030500,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type IB spiral ganglion neuron,Bcam,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Astrocyte,Bcan,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Type I spiral ganglion neuron,Bcan,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
Interneuron-selective cell,Bcar3,Mouse,brain,Brain,Brain,Normal cell,CellMarker2
